#Event ID, BagTag UUID, Location(check-in, sorting, staging, loading), Bag Weight, Date
# Let's start simple, just a single bag.
# 3 bags, one gets lost.
1, 1, CHECK_IN, 18.9, 20180118:090000000
2, 2, CHECK_IN, 17.8, 20180118:090100000
3, 3, CHECK_IN, 15.4, 20180118:090300000
4, 2, SORTING, 17.8, 20180118:090400000
5, 1, SORTING, 18.9, 20180118:091100000
6, 3, SORTING, 15.4, 20180118:091200000

# 2 bags, one gets lost
7, 4, CHECK_IN, 16.8, 20180118:093300000
8, 5, CHECK_IN, 12.3, 20180118:093500000
9, 4, SORTING, 16.8, 20180118:094400000
10, 5, SORTING, 12.3, 20180118:094430000

# 5 bags, none get lost, all after 10:00
#11, 6, CHECK_IN, 16.8, 20180118:100100000
#12, 7, CHECK_IN, 17.2, 20180118:100200000
#13, 8, CHECK_IN, 21.2, 20180118:100300000
#14, 9, CHECK_IN, 9.8, 20180118:100400000
#15, 6, SORTING, 16.8, 20180118:101000000
#16, 7, SORTING, 17.2, 20180118:101100000
#17, 8, SORTING, 21.2, 20180118:101200000
#18, 9, SORTING, 9.8, 20180118:101300000
#19, 10, CHECK_IN, 14.3, 20180118:102000000
#20, 10, SORTING, 14.3, 20180118:102200000

#Staging takes a bit longer :-)
#21, 1, CHECK_IN, 18.9, 20180118:090000000
#22, 2, CHECK_IN, 17.8, 20180118:090100000
#23, 3, CHECK_IN, 15.4, 20180118:090300000
#24, 4, CHECK_IN, 16.8, 20180118:093300000
#25, 5, CHECK_IN, 12.3, 20180118:093500000
#26, 6, CHECK_IN, 16.8, 20180118:100100000
#27, 7, CHECK_IN, 17.2, 20180118:100200000
#28, 8, CHECK_IN, 21.2, 20180118:100300000
#29, 9, CHECK_IN, 9.8, 20180118:100400000
#30, 10, CHECK_IN, 14.3, 20180118:102000000
